"chr"	"start"	"end"	"wgs_block"	"file_name"
"1"	"1900001"	"1950000"	"b38"	"ukb24304_c1_b38_v1.vcf.gz"
"1"	"1950001"	"2e+06"	"b39"	"ukb24304_c1_b39_v1.vcf.gz"
"1"	"2000001"	"2050000"	"b40"	"ukb24304_c1_b40_v1.vcf.gz"
"1"	"2050001"	"2100000"	"b41"	"ukb24304_c1_b41_v1.vcf.gz"
"1"	"2100001"	"2150000"	"b42"	"ukb24304_c1_b42_v1.vcf.gz"
"1"	"2150001"	"2200000"	"b43"	"ukb24304_c1_b43_v1.vcf.gz"
"1"	"2200001"	"2250000"	"b44"	"ukb24304_c1_b44_v1.vcf.gz"
"1"	"2250001"	"2300000"	"b45"	"ukb24304_c1_b45_v1.vcf.gz"
"1"	"2300001"	"2350000"	"b46"	"ukb24304_c1_b46_v1.vcf.gz"
"1"	"2350001"	"2400000"	"b47"	"ukb24304_c1_b47_v1.vcf.gz"
"1"	"2400001"	"2450000"	"b48"	"ukb24304_c1_b48_v1.vcf.gz"
"1"	"2450001"	"2500000"	"b49"	"ukb24304_c1_b49_v1.vcf.gz"
"1"	"2500001"	"2550000"	"b50"	"ukb24304_c1_b50_v1.vcf.gz"
"1"	"2550001"	"2600000"	"b51"	"ukb24304_c1_b51_v1.vcf.gz"
"1"	"2600001"	"2650000"	"b52"	"ukb24304_c1_b52_v1.vcf.gz"
"1"	"2650001"	"2700000"	"b53"	"ukb24304_c1_b53_v1.vcf.gz"
"1"	"2700001"	"2750000"	"b54"	"ukb24304_c1_b54_v1.vcf.gz"
"1"	"2750001"	"2800000"	"b55"	"ukb24304_c1_b55_v1.vcf.gz"
"1"	"2800001"	"2850000"	"b56"	"ukb24304_c1_b56_v1.vcf.gz"
"1"	"2850001"	"2900000"	"b57"	"ukb24304_c1_b57_v1.vcf.gz"
"1"	"2900001"	"2950000"	"b58"	"ukb24304_c1_b58_v1.vcf.gz"
"1"	"2950001"	"3e+06"	"b59"	"ukb24304_c1_b59_v1.vcf.gz"
"1"	"3000001"	"3050000"	"b60"	"ukb24304_c1_b60_v1.vcf.gz"
"1"	"3050001"	"3100000"	"b61"	"ukb24304_c1_b61_v1.vcf.gz"
"1"	"3100001"	"3150000"	"b62"	"ukb24304_c1_b62_v1.vcf.gz"
"1"	"3150001"	"3200000"	"b63"	"ukb24304_c1_b63_v1.vcf.gz"
"1"	"3200001"	"3250000"	"b64"	"ukb24304_c1_b64_v1.vcf.gz"
"1"	"3250001"	"3300000"	"b65"	"ukb24304_c1_b65_v1.vcf.gz"
"1"	"3300001"	"3350000"	"b66"	"ukb24304_c1_b66_v1.vcf.gz"
"1"	"3350001"	"3400000"	"b67"	"ukb24304_c1_b67_v1.vcf.gz"
"1"	"3400001"	"3450000"	"b68"	"ukb24304_c1_b68_v1.vcf.gz"
"1"	"3450001"	"3500000"	"b69"	"ukb24304_c1_b69_v1.vcf.gz"
"1"	"3500001"	"3550000"	"b70"	"ukb24304_c1_b70_v1.vcf.gz"
"1"	"3550001"	"3600000"	"b71"	"ukb24304_c1_b71_v1.vcf.gz"
"1"	"3600001"	"3650000"	"b72"	"ukb24304_c1_b72_v1.vcf.gz"
"1"	"3650001"	"3700000"	"b73"	"ukb24304_c1_b73_v1.vcf.gz"
"1"	"3700001"	"3750000"	"b74"	"ukb24304_c1_b74_v1.vcf.gz"
"1"	"3750001"	"3800000"	"b75"	"ukb24304_c1_b75_v1.vcf.gz"
"1"	"3800001"	"3850000"	"b76"	"ukb24304_c1_b76_v1.vcf.gz"
"1"	"3850001"	"3900000"	"b77"	"ukb24304_c1_b77_v1.vcf.gz"
"1"	"3900001"	"3950000"	"b78"	"ukb24304_c1_b78_v1.vcf.gz"
"1"	"3950001"	"4e+06"	"b79"	"ukb24304_c1_b79_v1.vcf.gz"
"1"	"4000001"	"4050000"	"b80"	"ukb24304_c1_b80_v1.vcf.gz"
"1"	"4050001"	"4100000"	"b81"	"ukb24304_c1_b81_v1.vcf.gz"
"1"	"4100001"	"4150000"	"b82"	"ukb24304_c1_b82_v1.vcf.gz"
"1"	"4150001"	"4200000"	"b83"	"ukb24304_c1_b83_v1.vcf.gz"
"1"	"4200001"	"4250000"	"b84"	"ukb24304_c1_b84_v1.vcf.gz"
"1"	"4250001"	"4300000"	"b85"	"ukb24304_c1_b85_v1.vcf.gz"
"1"	"4300001"	"4350000"	"b86"	"ukb24304_c1_b86_v1.vcf.gz"
"1"	"4350001"	"4400000"	"b87"	"ukb24304_c1_b87_v1.vcf.gz"
"1"	"4400001"	"4450000"	"b88"	"ukb24304_c1_b88_v1.vcf.gz"
"1"	"4450001"	"4500000"	"b89"	"ukb24304_c1_b89_v1.vcf.gz"
"1"	"4500001"	"4550000"	"b90"	"ukb24304_c1_b90_v1.vcf.gz"
"1"	"4550001"	"4600000"	"b91"	"ukb24304_c1_b91_v1.vcf.gz"
"1"	"4600001"	"4650000"	"b92"	"ukb24304_c1_b92_v1.vcf.gz"
"1"	"4650001"	"4700000"	"b93"	"ukb24304_c1_b93_v1.vcf.gz"
"1"	"4700001"	"4750000"	"b94"	"ukb24304_c1_b94_v1.vcf.gz"
"1"	"4750001"	"4800000"	"b95"	"ukb24304_c1_b95_v1.vcf.gz"
"1"	"4800001"	"4850000"	"b96"	"ukb24304_c1_b96_v1.vcf.gz"
"1"	"4850001"	"4900000"	"b97"	"ukb24304_c1_b97_v1.vcf.gz"
"1"	"4900001"	"4950000"	"b98"	"ukb24304_c1_b98_v1.vcf.gz"
"1"	"4950001"	"5e+06"	"b99"	"ukb24304_c1_b99_v1.vcf.gz"
"1"	"5000001"	"5050000"	"b100"	"ukb24304_c1_b100_v1.vcf.gz"
"1"	"5050001"	"5100000"	"b101"	"ukb24304_c1_b101_v1.vcf.gz"
"1"	"5100001"	"5150000"	"b102"	"ukb24304_c1_b102_v1.vcf.gz"
"1"	"5150001"	"5200000"	"b103"	"ukb24304_c1_b103_v1.vcf.gz"
"1"	"5200001"	"5250000"	"b104"	"ukb24304_c1_b104_v1.vcf.gz"
"1"	"5250001"	"5300000"	"b105"	"ukb24304_c1_b105_v1.vcf.gz"
"1"	"5300001"	"5350000"	"b106"	"ukb24304_c1_b106_v1.vcf.gz"
"1"	"5350001"	"5400000"	"b107"	"ukb24304_c1_b107_v1.vcf.gz"
"1"	"5400001"	"5450000"	"b108"	"ukb24304_c1_b108_v1.vcf.gz"
"1"	"5450001"	"5500000"	"b109"	"ukb24304_c1_b109_v1.vcf.gz"
"1"	"5500001"	"5550000"	"b110"	"ukb24304_c1_b110_v1.vcf.gz"
"1"	"5550001"	"5600000"	"b111"	"ukb24304_c1_b111_v1.vcf.gz"
"1"	"5600001"	"5650000"	"b112"	"ukb24304_c1_b112_v1.vcf.gz"
"1"	"5650001"	"5700000"	"b113"	"ukb24304_c1_b113_v1.vcf.gz"
"1"	"5700001"	"5750000"	"b114"	"ukb24304_c1_b114_v1.vcf.gz"
"1"	"5750001"	"5800000"	"b115"	"ukb24304_c1_b115_v1.vcf.gz"
"1"	"5800001"	"5850000"	"b116"	"ukb24304_c1_b116_v1.vcf.gz"
"1"	"5850001"	"5900000"	"b117"	"ukb24304_c1_b117_v1.vcf.gz"
"1"	"5900001"	"5950000"	"b118"	"ukb24304_c1_b118_v1.vcf.gz"
"1"	"5950001"	"6e+06"	"b119"	"ukb24304_c1_b119_v1.vcf.gz"
"1"	"6000001"	"6050000"	"b120"	"ukb24304_c1_b120_v1.vcf.gz"
"1"	"6050001"	"6100000"	"b121"	"ukb24304_c1_b121_v1.vcf.gz"
"1"	"6100001"	"6150000"	"b122"	"ukb24304_c1_b122_v1.vcf.gz"
"1"	"6150001"	"6200000"	"b123"	"ukb24304_c1_b123_v1.vcf.gz"
"1"	"6200001"	"6250000"	"b124"	"ukb24304_c1_b124_v1.vcf.gz"
"1"	"6250001"	"6300000"	"b125"	"ukb24304_c1_b125_v1.vcf.gz"
"1"	"6300001"	"6350000"	"b126"	"ukb24304_c1_b126_v1.vcf.gz"
"1"	"6350001"	"6400000"	"b127"	"ukb24304_c1_b127_v1.vcf.gz"
"1"	"6400001"	"6450000"	"b128"	"ukb24304_c1_b128_v1.vcf.gz"
"1"	"6450001"	"6500000"	"b129"	"ukb24304_c1_b129_v1.vcf.gz"
"1"	"6500001"	"6550000"	"b130"	"ukb24304_c1_b130_v1.vcf.gz"
"1"	"6550001"	"6600000"	"b131"	"ukb24304_c1_b131_v1.vcf.gz"
"1"	"6600001"	"6650000"	"b132"	"ukb24304_c1_b132_v1.vcf.gz"
"1"	"6650001"	"6700000"	"b133"	"ukb24304_c1_b133_v1.vcf.gz"
"1"	"6700001"	"6750000"	"b134"	"ukb24304_c1_b134_v1.vcf.gz"
"1"	"6750001"	"6800000"	"b135"	"ukb24304_c1_b135_v1.vcf.gz"
"1"	"6800001"	"6850000"	"b136"	"ukb24304_c1_b136_v1.vcf.gz"
"1"	"6850001"	"6900000"	"b137"	"ukb24304_c1_b137_v1.vcf.gz"
"1"	"6900001"	"6950000"	"b138"	"ukb24304_c1_b138_v1.vcf.gz"
"1"	"6950001"	"7e+06"	"b139"	"ukb24304_c1_b139_v1.vcf.gz"
"1"	"7000001"	"7050000"	"b140"	"ukb24304_c1_b140_v1.vcf.gz"
"1"	"7050001"	"7100000"	"b141"	"ukb24304_c1_b141_v1.vcf.gz"
"1"	"7100001"	"7150000"	"b142"	"ukb24304_c1_b142_v1.vcf.gz"
"1"	"7150001"	"7200000"	"b143"	"ukb24304_c1_b143_v1.vcf.gz"
"1"	"7200001"	"7250000"	"b144"	"ukb24304_c1_b144_v1.vcf.gz"
"1"	"7250001"	"7300000"	"b145"	"ukb24304_c1_b145_v1.vcf.gz"
"1"	"7300001"	"7350000"	"b146"	"ukb24304_c1_b146_v1.vcf.gz"
"1"	"7350001"	"7400000"	"b147"	"ukb24304_c1_b147_v1.vcf.gz"
"1"	"7400001"	"7450000"	"b148"	"ukb24304_c1_b148_v1.vcf.gz"
"1"	"7450001"	"7500000"	"b149"	"ukb24304_c1_b149_v1.vcf.gz"
"1"	"7500001"	"7550000"	"b150"	"ukb24304_c1_b150_v1.vcf.gz"
"1"	"7550001"	"7600000"	"b151"	"ukb24304_c1_b151_v1.vcf.gz"
"1"	"7600001"	"7650000"	"b152"	"ukb24304_c1_b152_v1.vcf.gz"
"1"	"7650001"	"7700000"	"b153"	"ukb24304_c1_b153_v1.vcf.gz"
"1"	"7700001"	"7750000"	"b154"	"ukb24304_c1_b154_v1.vcf.gz"
"1"	"7750001"	"7800000"	"b155"	"ukb24304_c1_b155_v1.vcf.gz"
"1"	"7800001"	"7850000"	"b156"	"ukb24304_c1_b156_v1.vcf.gz"
"1"	"7850001"	"7900000"	"b157"	"ukb24304_c1_b157_v1.vcf.gz"
"1"	"7900001"	"7950000"	"b158"	"ukb24304_c1_b158_v1.vcf.gz"
"1"	"7950001"	"8e+06"	"b159"	"ukb24304_c1_b159_v1.vcf.gz"
"1"	"8000001"	"8050000"	"b160"	"ukb24304_c1_b160_v1.vcf.gz"
"1"	"8050001"	"8100000"	"b161"	"ukb24304_c1_b161_v1.vcf.gz"
"1"	"8100001"	"8150000"	"b162"	"ukb24304_c1_b162_v1.vcf.gz"
"1"	"8150001"	"8200000"	"b163"	"ukb24304_c1_b163_v1.vcf.gz"
"1"	"8200001"	"8250000"	"b164"	"ukb24304_c1_b164_v1.vcf.gz"
"1"	"8250001"	"8300000"	"b165"	"ukb24304_c1_b165_v1.vcf.gz"
"1"	"8300001"	"8350000"	"b166"	"ukb24304_c1_b166_v1.vcf.gz"
"1"	"8350001"	"8400000"	"b167"	"ukb24304_c1_b167_v1.vcf.gz"
"1"	"8400001"	"8450000"	"b168"	"ukb24304_c1_b168_v1.vcf.gz"
"1"	"8450001"	"8500000"	"b169"	"ukb24304_c1_b169_v1.vcf.gz"
"1"	"8500001"	"8550000"	"b170"	"ukb24304_c1_b170_v1.vcf.gz"
"1"	"8550001"	"8600000"	"b171"	"ukb24304_c1_b171_v1.vcf.gz"
"1"	"8600001"	"8650000"	"b172"	"ukb24304_c1_b172_v1.vcf.gz"
"1"	"8650001"	"8700000"	"b173"	"ukb24304_c1_b173_v1.vcf.gz"
"1"	"8700001"	"8750000"	"b174"	"ukb24304_c1_b174_v1.vcf.gz"
"1"	"8750001"	"8800000"	"b175"	"ukb24304_c1_b175_v1.vcf.gz"
"1"	"8800001"	"8850000"	"b176"	"ukb24304_c1_b176_v1.vcf.gz"
"1"	"8850001"	"8900000"	"b177"	"ukb24304_c1_b177_v1.vcf.gz"
"1"	"8900001"	"8950000"	"b178"	"ukb24304_c1_b178_v1.vcf.gz"
"1"	"8950001"	"9e+06"	"b179"	"ukb24304_c1_b179_v1.vcf.gz"
"1"	"9000001"	"9050000"	"b180"	"ukb24304_c1_b180_v1.vcf.gz"
"1"	"9050001"	"9100000"	"b181"	"ukb24304_c1_b181_v1.vcf.gz"
"1"	"9100001"	"9150000"	"b182"	"ukb24304_c1_b182_v1.vcf.gz"
"1"	"9150001"	"9200000"	"b183"	"ukb24304_c1_b183_v1.vcf.gz"
"1"	"9200001"	"9250000"	"b184"	"ukb24304_c1_b184_v1.vcf.gz"
"1"	"9250001"	"9300000"	"b185"	"ukb24304_c1_b185_v1.vcf.gz"
"1"	"9300001"	"9350000"	"b186"	"ukb24304_c1_b186_v1.vcf.gz"
"1"	"9350001"	"9400000"	"b187"	"ukb24304_c1_b187_v1.vcf.gz"
"1"	"9400001"	"9450000"	"b188"	"ukb24304_c1_b188_v1.vcf.gz"
"1"	"9450001"	"9500000"	"b189"	"ukb24304_c1_b189_v1.vcf.gz"
"1"	"9500001"	"9550000"	"b190"	"ukb24304_c1_b190_v1.vcf.gz"
"1"	"9550001"	"9600000"	"b191"	"ukb24304_c1_b191_v1.vcf.gz"
"1"	"9600001"	"9650000"	"b192"	"ukb24304_c1_b192_v1.vcf.gz"
"1"	"9650001"	"9700000"	"b193"	"ukb24304_c1_b193_v1.vcf.gz"
"1"	"9700001"	"9750000"	"b194"	"ukb24304_c1_b194_v1.vcf.gz"
"1"	"9750001"	"9800000"	"b195"	"ukb24304_c1_b195_v1.vcf.gz"
"1"	"9800001"	"9850000"	"b196"	"ukb24304_c1_b196_v1.vcf.gz"
"1"	"9850001"	"9900000"	"b197"	"ukb24304_c1_b197_v1.vcf.gz"
"1"	"9900001"	"9950000"	"b198"	"ukb24304_c1_b198_v1.vcf.gz"
"1"	"9950001"	"1e+07"	"b199"	"ukb24304_c1_b199_v1.vcf.gz"
"1"	"10000001"	"10050000"	"b200"	"ukb24304_c1_b200_v1.vcf.gz"
"1"	"10050001"	"10100000"	"b201"	"ukb24304_c1_b201_v1.vcf.gz"
"1"	"10100001"	"10150000"	"b202"	"ukb24304_c1_b202_v1.vcf.gz"
"1"	"10150001"	"10200000"	"b203"	"ukb24304_c1_b203_v1.vcf.gz"
"1"	"10200001"	"10250000"	"b204"	"ukb24304_c1_b204_v1.vcf.gz"
"1"	"10250001"	"10300000"	"b205"	"ukb24304_c1_b205_v1.vcf.gz"
"1"	"10300001"	"10350000"	"b206"	"ukb24304_c1_b206_v1.vcf.gz"
"1"	"10350001"	"10400000"	"b207"	"ukb24304_c1_b207_v1.vcf.gz"
"1"	"10400001"	"10450000"	"b208"	"ukb24304_c1_b208_v1.vcf.gz"
"1"	"10450001"	"10500000"	"b209"	"ukb24304_c1_b209_v1.vcf.gz"
"1"	"10500001"	"10550000"	"b210"	"ukb24304_c1_b210_v1.vcf.gz"
"1"	"10550001"	"10600000"	"b211"	"ukb24304_c1_b211_v1.vcf.gz"
"1"	"10600001"	"10650000"	"b212"	"ukb24304_c1_b212_v1.vcf.gz"
"1"	"10650001"	"10700000"	"b213"	"ukb24304_c1_b213_v1.vcf.gz"
"1"	"10700001"	"10750000"	"b214"	"ukb24304_c1_b214_v1.vcf.gz"
"1"	"10750001"	"10800000"	"b215"	"ukb24304_c1_b215_v1.vcf.gz"
"1"	"10800001"	"10850000"	"b216"	"ukb24304_c1_b216_v1.vcf.gz"
"1"	"10850001"	"10900000"	"b217"	"ukb24304_c1_b217_v1.vcf.gz"
"1"	"10900001"	"10950000"	"b218"	"ukb24304_c1_b218_v1.vcf.gz"
"1"	"10950001"	"1.1e+07"	"b219"	"ukb24304_c1_b219_v1.vcf.gz"
"1"	"11000001"	"11050000"	"b220"	"ukb24304_c1_b220_v1.vcf.gz"
"1"	"11050001"	"11100000"	"b221"	"ukb24304_c1_b221_v1.vcf.gz"
"1"	"11100001"	"11150000"	"b222"	"ukb24304_c1_b222_v1.vcf.gz"
"1"	"11150001"	"11200000"	"b223"	"ukb24304_c1_b223_v1.vcf.gz"
"1"	"11200001"	"11250000"	"b224"	"ukb24304_c1_b224_v1.vcf.gz"
"1"	"11250001"	"11300000"	"b225"	"ukb24304_c1_b225_v1.vcf.gz"
"1"	"11300001"	"11350000"	"b226"	"ukb24304_c1_b226_v1.vcf.gz"
"1"	"11350001"	"11400000"	"b227"	"ukb24304_c1_b227_v1.vcf.gz"
"1"	"11400001"	"11450000"	"b228"	"ukb24304_c1_b228_v1.vcf.gz"
"1"	"11450001"	"11500000"	"b229"	"ukb24304_c1_b229_v1.vcf.gz"
"1"	"11500001"	"11550000"	"b230"	"ukb24304_c1_b230_v1.vcf.gz"
"1"	"11550001"	"11600000"	"b231"	"ukb24304_c1_b231_v1.vcf.gz"
"1"	"11600001"	"11650000"	"b232"	"ukb24304_c1_b232_v1.vcf.gz"
"1"	"11650001"	"11700000"	"b233"	"ukb24304_c1_b233_v1.vcf.gz"
"1"	"11700001"	"11750000"	"b234"	"ukb24304_c1_b234_v1.vcf.gz"
"1"	"11750001"	"11800000"	"b235"	"ukb24304_c1_b235_v1.vcf.gz"
"1"	"11800001"	"11850000"	"b236"	"ukb24304_c1_b236_v1.vcf.gz"
"1"	"11850001"	"11900000"	"b237"	"ukb24304_c1_b237_v1.vcf.gz"
"1"	"11900001"	"11950000"	"b238"	"ukb24304_c1_b238_v1.vcf.gz"
"1"	"11950001"	"1.2e+07"	"b239"	"ukb24304_c1_b239_v1.vcf.gz"
"1"	"12000001"	"12050000"	"b240"	"ukb24304_c1_b240_v1.vcf.gz"
"1"	"12050001"	"12100000"	"b241"	"ukb24304_c1_b241_v1.vcf.gz"
"1"	"12100001"	"12150000"	"b242"	"ukb24304_c1_b242_v1.vcf.gz"
"1"	"12150001"	"12200000"	"b243"	"ukb24304_c1_b243_v1.vcf.gz"
"1"	"12200001"	"12250000"	"b244"	"ukb24304_c1_b244_v1.vcf.gz"
"1"	"12250001"	"12300000"	"b245"	"ukb24304_c1_b245_v1.vcf.gz"
"1"	"12300001"	"12350000"	"b246"	"ukb24304_c1_b246_v1.vcf.gz"
"1"	"12350001"	"12400000"	"b247"	"ukb24304_c1_b247_v1.vcf.gz"
"1"	"12400001"	"12450000"	"b248"	"ukb24304_c1_b248_v1.vcf.gz"
"1"	"12450001"	"12500000"	"b249"	"ukb24304_c1_b249_v1.vcf.gz"
"1"	"12500001"	"12550000"	"b250"	"ukb24304_c1_b250_v1.vcf.gz"
"1"	"12550001"	"12600000"	"b251"	"ukb24304_c1_b251_v1.vcf.gz"
"1"	"12600001"	"12650000"	"b252"	"ukb24304_c1_b252_v1.vcf.gz"
"1"	"12650001"	"12700000"	"b253"	"ukb24304_c1_b253_v1.vcf.gz"
"1"	"12700001"	"12750000"	"b254"	"ukb24304_c1_b254_v1.vcf.gz"
"1"	"12750001"	"12800000"	"b255"	"ukb24304_c1_b255_v1.vcf.gz"
"1"	"12800001"	"12850000"	"b256"	"ukb24304_c1_b256_v1.vcf.gz"
"1"	"12850001"	"12900000"	"b257"	"ukb24304_c1_b257_v1.vcf.gz"
"1"	"12900001"	"12950000"	"b258"	"ukb24304_c1_b258_v1.vcf.gz"
"1"	"12950001"	"1.3e+07"	"b259"	"ukb24304_c1_b259_v1.vcf.gz"
"1"	"13000001"	"13050000"	"b260"	"ukb24304_c1_b260_v1.vcf.gz"
"1"	"13050001"	"13100000"	"b261"	"ukb24304_c1_b261_v1.vcf.gz"
"1"	"13100001"	"13150000"	"b262"	"ukb24304_c1_b262_v1.vcf.gz"
"1"	"13150001"	"13200000"	"b263"	"ukb24304_c1_b263_v1.vcf.gz"
"1"	"13200001"	"13250000"	"b264"	"ukb24304_c1_b264_v1.vcf.gz"
"1"	"13250001"	"13300000"	"b265"	"ukb24304_c1_b265_v1.vcf.gz"
"1"	"13300001"	"13350000"	"b266"	"ukb24304_c1_b266_v1.vcf.gz"
"1"	"13350001"	"13400000"	"b267"	"ukb24304_c1_b267_v1.vcf.gz"
"1"	"13400001"	"13450000"	"b268"	"ukb24304_c1_b268_v1.vcf.gz"
"1"	"13450001"	"13500000"	"b269"	"ukb24304_c1_b269_v1.vcf.gz"
"1"	"13500001"	"13550000"	"b270"	"ukb24304_c1_b270_v1.vcf.gz"
"1"	"13550001"	"13600000"	"b271"	"ukb24304_c1_b271_v1.vcf.gz"
"1"	"13600001"	"13650000"	"b272"	"ukb24304_c1_b272_v1.vcf.gz"
"1"	"13650001"	"13700000"	"b273"	"ukb24304_c1_b273_v1.vcf.gz"
"1"	"13700001"	"13750000"	"b274"	"ukb24304_c1_b274_v1.vcf.gz"
"1"	"13750001"	"13800000"	"b275"	"ukb24304_c1_b275_v1.vcf.gz"
"1"	"13800001"	"13850000"	"b276"	"ukb24304_c1_b276_v1.vcf.gz"
"1"	"13850001"	"13900000"	"b277"	"ukb24304_c1_b277_v1.vcf.gz"
"1"	"13900001"	"13950000"	"b278"	"ukb24304_c1_b278_v1.vcf.gz"
"1"	"13950001"	"1.4e+07"	"b279"	"ukb24304_c1_b279_v1.vcf.gz"
"1"	"14000001"	"14050000"	"b280"	"ukb24304_c1_b280_v1.vcf.gz"
"1"	"14050001"	"14100000"	"b281"	"ukb24304_c1_b281_v1.vcf.gz"
"1"	"14100001"	"14150000"	"b282"	"ukb24304_c1_b282_v1.vcf.gz"
"1"	"14150001"	"14200000"	"b283"	"ukb24304_c1_b283_v1.vcf.gz"
"1"	"14200001"	"14250000"	"b284"	"ukb24304_c1_b284_v1.vcf.gz"
"1"	"14250001"	"14300000"	"b285"	"ukb24304_c1_b285_v1.vcf.gz"
"1"	"14300001"	"14350000"	"b286"	"ukb24304_c1_b286_v1.vcf.gz"
"1"	"14350001"	"14400000"	"b287"	"ukb24304_c1_b287_v1.vcf.gz"
"1"	"14400001"	"14450000"	"b288"	"ukb24304_c1_b288_v1.vcf.gz"
"1"	"14450001"	"14500000"	"b289"	"ukb24304_c1_b289_v1.vcf.gz"
"1"	"14500001"	"14550000"	"b290"	"ukb24304_c1_b290_v1.vcf.gz"
"1"	"14550001"	"14600000"	"b291"	"ukb24304_c1_b291_v1.vcf.gz"
"1"	"14600001"	"14650000"	"b292"	"ukb24304_c1_b292_v1.vcf.gz"
"1"	"14650001"	"14700000"	"b293"	"ukb24304_c1_b293_v1.vcf.gz"
"1"	"14700001"	"14750000"	"b294"	"ukb24304_c1_b294_v1.vcf.gz"
"1"	"14750001"	"14800000"	"b295"	"ukb24304_c1_b295_v1.vcf.gz"
"1"	"14800001"	"14850000"	"b296"	"ukb24304_c1_b296_v1.vcf.gz"
"1"	"14850001"	"14900000"	"b297"	"ukb24304_c1_b297_v1.vcf.gz"
"1"	"14900001"	"14950000"	"b298"	"ukb24304_c1_b298_v1.vcf.gz"
"1"	"14950001"	"1.5e+07"	"b299"	"ukb24304_c1_b299_v1.vcf.gz"
"1"	"15000001"	"15050000"	"b300"	"ukb24304_c1_b300_v1.vcf.gz"
"1"	"15050001"	"15100000"	"b301"	"ukb24304_c1_b301_v1.vcf.gz"
"1"	"15100001"	"15150000"	"b302"	"ukb24304_c1_b302_v1.vcf.gz"
"1"	"15150001"	"15200000"	"b303"	"ukb24304_c1_b303_v1.vcf.gz"
"1"	"15200001"	"15250000"	"b304"	"ukb24304_c1_b304_v1.vcf.gz"
"1"	"15250001"	"15300000"	"b305"	"ukb24304_c1_b305_v1.vcf.gz"
"1"	"15300001"	"15350000"	"b306"	"ukb24304_c1_b306_v1.vcf.gz"
"1"	"15350001"	"15400000"	"b307"	"ukb24304_c1_b307_v1.vcf.gz"
"1"	"15400001"	"15450000"	"b308"	"ukb24304_c1_b308_v1.vcf.gz"
